  -0.011130    0.001410  -0.1234  -0.0708  -6.1225   3.3513 
  -0.011290    0.000510  -0.1032  -0.1325  -6.7701   3.1275 
  -0.010630   -0.000420  -0.0154  -0.0695  -7.1227   3.2272 
  -0.005670    0.000780   0.0727  -0.0069  -7.4649   3.3273 
  -0.002130    0.004090   0.1612   0.0557  -7.7944   3.4455 
  -0.000630    0.010130   0.1441   0.1407  -8.1008   3.5250 
  -0.002300    0.015720   0.1272   0.2249  -8.3910   3.5666 
  -0.006430    0.018930   0.1112   0.3081  -8.7047   3.6312 
  -0.008360    0.019990   0.0104   0.2455  -9.0360   3.7031 
  -0.010950    0.015930  -0.0929   0.1871  -9.3597   3.7563 
  -0.016410    0.010990  -0.1980   0.1316  -9.6770   3.7954 
  -0.021100    0.004070  -0.2079   0.0289  -9.9946   3.8791 
  -0.022480    0.000520  -0.2167  -0.0706 -10.2892   3.9750 
  -0.020010   -0.000180  -0.2222  -0.1671 -10.5513   4.1001 
  -0.016650   -0.002250  -0.1117  -0.1422 -10.7833   4.2246 
  -0.011860   -0.003030   0.0003  -0.1207 -11.0123   4.3280 
  -0.006970   -0.002100   0.1057  -0.0964 -11.2298   4.4395 
  -0.002030    0.001800   0.1381   0.0198 -10.9538   5.1282 
  -0.003010    0.007620   0.1719   0.1337 -10.7202   5.7549 
  -0.003640    0.014430   0.2098   0.2424 -10.4859   6.3896 
  -0.006810    0.018530   0.1216   0.2537  -9.3328   6.3483 
  -0.010620    0.019350   0.0301   0.2661  -8.1731   6.1964 
  -0.015500    0.016920  -0.0635   0.2792  -6.9944   5.8318 
  -0.019520    0.013700  -0.1010   0.1866  -6.5629   5.6170 
  -0.021220    0.009040  -0.1405   0.0968  -6.0957   5.4733 
  -0.021150    0.003360  -0.1828   0.0098  -5.6805   5.3261 
  -0.018490    0.000870  -0.0803  -0.0130  -5.8130   4.5399 
  -0.010720   -0.000570   0.0208  -0.0401  -5.9596   3.7776 
  -0.000720   -0.001390   0.1248  -0.0700  -6.0945   3.1357 
   0.004060   -0.000970   0.1778  -0.0047  -6.2318   2.4802 
   0.006800    0.000560   0.2277   0.0599  -6.3989   1.7322 
   0.006030    0.000860   0.2803   0.1262  -6.5409   1.0745 
  -0.000060   -0.000020   0.1546   0.1411  -6.7185   0.3508 
  -0.009630   -0.000190   0.0281   0.1594  -6.9030  -0.3567 
  -0.017840    0.001420  -0.1001   0.1797  -7.0955  -1.0463 
  -0.023600    0.001260  -0.1712   0.0810  -7.2963  -1.7220 
  -0.026160    0.000670  -0.2334  -0.0161  -7.4567  -2.3511 
  -0.024520   -0.002120  -0.2911  -0.1114  -7.6183  -2.9851 
  -0.021400   -0.005810  -0.1809  -0.1712  -7.7256  -3.6016 
  -0.016270   -0.008580  -0.0747  -0.2299  -7.8268  -4.2383 
  -0.010220   -0.010250   0.0301  -0.2883  -7.8658  -4.8936 
  -0.005570   -0.008350   0.1020  -0.2079  -7.3375  -4.6799 
  -0.002740   -0.003590   0.1697  -0.1241  -6.9087  -4.4866 
   0.000100    0.002200   0.2360  -0.0384  -6.5106  -4.3022 
  -0.001810    0.006220   0.1391   0.0467  -5.1371  -4.6486 
  -0.006090    0.009550   0.0414   0.1282  -3.7958  -4.9868 
  -0.008710    0.011180  -0.0549   0.2099  -2.4015  -5.3273 
  -0.011790    0.010620  -0.1225   0.1327  -1.3509  -6.0575 
  -0.011950    0.006600  -0.1891   0.0567  -0.3054  -6.7895 
  -0.012600   -0.000740  -0.2550  -0.0181   0.7350  -7.5233 
  -0.011970   -0.006830  -0.1686  -0.0871   1.1016  -7.6528 
  -0.009530   -0.009550  -0.0832  -0.1559   1.4961  -7.7683 
  -0.003380   -0.012430   0.0001  -0.2212   1.8758  -7.8755 
   0.003040   -0.012570   0.0822  -0.1635   2.2639  -7.9835 
   0.008220   -0.009910   0.1659  -0.1020   2.6000  -8.0839 
   0.011220   -0.004510   0.2496  -0.0341   2.9058  -8.1687 
   0.011400    0.001630   0.1583   0.0332   3.1882  -8.2553 
   0.009170    0.003460   0.0723   0.0956   3.4336  -8.3343 
   0.006400    0.006080  -0.0156   0.1518   3.6718  -8.4341 
   0.001720    0.005510  -0.0977   0.0615   3.8973  -8.5349 
  -0.001140    0.001820  -0.1806  -0.0311   4.1098  -8.6368 
  -0.003640   -0.003000  -0.2630  -0.1250   4.3189  -8.7479 
  -0.001860   -0.007400  -0.1895  -0.1778   4.5132  -8.8683 
   0.002750   -0.011880  -0.1179  -0.2293   4.6568  -8.9828 
   0.009030   -0.014310  -0.0470  -0.2786   4.7741  -9.0965 
   0.016710   -0.014960   0.0619  -0.1811   5.3128  -8.6706 
   0.023410   -0.012020   0.1691  -0.0821   5.9202  -8.2888 
   0.025850   -0.008490   0.2743   0.0192   6.6063  -7.9389 
   0.024970   -0.002930   0.1957   0.0977   6.6720  -8.4855 
   0.019850   -0.000720   0.1170   0.1761   6.7335  -9.0218 
   0.011520    0.000910   0.0392   0.2516   6.7821  -9.5445 
   0.004450    0.000810  -0.0574   0.1496   6.0676  -9.8766 
  -0.001120   -0.000350  -0.1531   0.0423   5.3604 -10.2220 
  -0.006090   -0.006220  -0.2485  -0.0660   4.6447 -10.5416 
